offer_id,campaign_id,product_name,merchant,merchant_product_id,variant,canonical_url,creative_product_name,creative_variant,expected_landing_product,expected_landing_variant,identity_status,availability_status,price_checked_at,destination_checked_at,affiliate_status,publish_status,notes
UNDER_SINK_001,CMP_UNDER_SINK_001,under-sink-organizer,amazon.in,B0C1KNTF2Y,40 x 21 x 39 cm,https://www.amazon.in/dp/B0C1KNTF2Y,wolpin Under Sink Rectangle Organizer Storage Rack 2-Tier,40 x 21 x 39 cm,wolpin Under Sink Rectangle Organizer Storage Rack 2-Tier,40 x 21 x 39 cm,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,"Identity and availability live-verified 2026-08-16 (price 1269 INR AFFILIATE ACTIVATED 2026-08-16: Vicky confirmed Amazon Associates account live (Store ID rioaffiliate-21, India tax status Completed, screenshot reviewed). affiliate_status set to ACTIVE and publish_status set to READY at the data-gate level. IMPORTANT CAVEAT: this does NOT yet mean the live article page has a working buy link -- site/articles/*.html currently has zero amazon.in hrefs; the actual tracking-tagged link still needs to be built into the site template. Treat as data-layer READY, not site-live, until that's done and re-verified., up from 696 INR previously observed -- refresh creative price). Still BLOCKED: Amazon Associates affiliate account/tracking ID not yet set up (VICKY ACTION REQUIRED)."
SPICE_RACK_001,CMP_SPICE_RACK_001,spice-rack,amazon.in,B07P5Z9SQN,16 pieces; Light Brown (SOKT66),https://www.amazon.in/dp/B07P5Z9SQN,Amazon Solimo Plastic Revolving Spice Rack Set of 16 Pieces SOKT66,16 pieces; Light Brown,Amazon Solimo Plastic Revolving Spice Rack Set of 16 Pieces SOKT66,16 pieces; Light Brown,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,"Identity and availability live-verified 2026-08-16 (price 539 INR AFFILIATE ACTIVATED 2026-08-16: Vicky confirmed Amazon Associates account live (Store ID rioaffiliate-21, India tax status Completed, screenshot reviewed). affiliate_status set to ACTIVE and publish_status set to READY at the data-gate level. IMPORTANT CAVEAT: this does NOT yet mean the live article page has a working buy link -- site/articles/*.html currently has zero amazon.in hrefs; the actual tracking-tagged link still needs to be built into the site template. Treat as data-layer READY, not site-live, until that's done and re-verified., unchanged). Top-priority offer once affiliate account is active. Still BLOCKED: Amazon Associates affiliate account/tracking ID not yet set up (VICKY ACTION REQUIRED)."
TROLLEY_001,CMP_TROLLEY_001,"Amazon Basics Slim Rolling Storage Rack, 3-Tiered Shelf Plastic Slide-Out Organizer",amazon.in,B08BVJYLZ3,"White; 3-Tier; 12.4D x 54.2W x 71.8H cm; wheeled, foldable",https://www.amazon.in/dp/B08BVJYLZ3,"Amazon Basics Slim Rolling Storage Rack, 3-Tiered Shelf Plastic Slide-Out Organizer, White","White; 3-Tier; 12.4D x 54.2W x 71.8H cm; wheeled, foldable","Amazon Basics Slim Rolling Storage Rack, 3-Tiered Shelf Plastic Slide-Out Organizer, White","White; 3-Tier; 12.4D x 54.2W x 71.8H cm; wheeled, foldable",VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,"Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Live-rechecked 2026-08-16 via Amazon.in: In stock, price₹829 (M.R.P. ₹1,500), 4.4 stars/2,587 ratings -- unchanged from prior evidence."
CONTAINER_001,CMP_CONTAINER_001,Signoraware Family Fresh Tab BPA Free Plastic Containers Set,amazon.in,B0753ZQDR7,MultiColour; Set of 4 (2.5L+1.2L+500ml+160ml),https://www.amazon.in/dp/B0753ZQDR7,Signoraware Family Fresh Tab BPA-Free Airtight Container Set (2.5L + 1.2L + 500ml + 160ml),MultiColour; Set of 4 (2.5L+1.2L+500ml+160ml),Signoraware Family Fresh Tab BPA-Free Airtight Container Set (2.5L + 1.2L + 500ml + 160ml),MultiColour; Set of 4 (2.5L+1.2L+500ml+160ml),VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,"Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹449 (M.R.P. ₹599), 4.4 stars/3,203 ratings -- unchanged from prior evidence."
DRAWER_001,CMP_DRAWER_001,Purawood Expandable Cutlery Drawer Organizer for Kitchen,amazon.in,B0H9MM6BPD,"Black; Large, Adjustable; 2 Removable Slots",https://www.amazon.in/dp/B0H9MM6BPD,"Purawood Expandable Cutlery Drawer Organizer, 2 Removable Slots, BPA-Free, Black","Black; Large, Adjustable; 2 Removable Slots","Purawood Expandable Cutlery Drawer Organizer, 2 Removable Slots, BPA-Free, Black","Black; Large, Adjustable; 2 Removable Slots",VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,"Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹598 (M.R.P. ₹1,999), 4.7 stars/4,116 ratings -- closes the previously-flagged review-evidence gap with a strong real rating."
NODRILL_001,CMP_NODRILL_001,"Nieifi KIMEE Set of 2 Metal Bathroom Corner Shelf, No-Drill Self Adhesive Wall Mounted Storage Rack",amazon.in,B0H2Q3875J,Black; Set of 2; 8 and 9 Inch,https://www.amazon.in/dp/B0H2Q3875J,"Nieifi KIMEE Set of 2 Metal Corner Shelf, Rustproof No-Drill Self-Adhesive Wall Mount (8 & 9 Inch)",Black; Set of 2; 8 and 9 Inch,"Nieifi KIMEE Set of 2 Metal Corner Shelf, Rustproof No-Drill Self-Adhesive Wall Mount (8 & 9 Inch)",Black; Set of 2; 8 and 9 Inch,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,"Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹289 (M.R.P. ₹4,999), 4.6 stars/10,516 ratings -- closes the previously-flagged review-evidence gap; also re-confirms dual bathroom/kitchen framing, binding creative disclosure condition still applies."
BATHROOM_SHELF_001,CMP_BATHROOM_SHELF_001,"EUDELE Aluminium Pack of 2, Self Adhesive Bathroom Shelf, No-Drill, Black",amazon.in,B0GYYRR5JB,Black; Aluminium; Pack of 2; No-Drill Self-Adhesive,https://www.amazon.in/dp/B0GYYRR5JB,"EUDELE Aluminium Self-Adhesive Bathroom Shelf, No-Drill Wall Mount (Pack of 2, Black)",Black; Aluminium; Pack of 2; No-Drill Self-Adhesive,"EUDELE Aluminium Self-Adhesive Bathroom Shelf, No-Drill Wall Mount (Pack of 2, Black)",Black; Aluminium; Pack of 2; No-Drill Self-Adhesive,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Discovered and identity-checked live via Amazon.in the same session (Dr. Victor).
BATHROOM_NODRILL_001,CMP_BATHROOM_NODRILL_001,"House of VIPA Wall Mounted Bathroom Shelf Organizer, 2-Tier with 4 Hooks, No-Drill",amazon.in,B0C85CTXTC,2-Tier; Plastic; 4 Hooks; No-Drill Adhesive,https://www.amazon.in/dp/B0C85CTXTC,"House of VIPA 2-Tier Wall Mounted Bathroom Shelf with 4 Hooks, No-Drill Adhesive",2-Tier; Plastic; 4 Hooks; No-Drill Adhesive,"House of VIPA 2-Tier Wall Mounted Bathroom Shelf with 4 Hooks, No-Drill Adhesive",2-Tier; Plastic; 4 Hooks; No-Drill Adhesive,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Discovered and identity-checked live via Amazon.in the same session (Dr. Victor).
HOMEOFFICE_CABLE_001,CMP_HOMEOFFICE_CABLE_001,"Joomouney Under Desk Cable Organizer Rack, Metal, Screw-Fixed Adjustable",amazon.in,B0FPB73FPZ,Metal; Screw-Fixed; Adjustable Under-Desk Tray,https://www.amazon.in/dp/B0FPB73FPZ,"Joomouney Metal Under-Desk Cable Organizer Rack, Adjustable Screw-Fixed Tray",Metal; Screw-Fixed; Adjustable Under-Desk Tray,"Joomouney Metal Under-Desk Cable Organizer Rack, Adjustable Screw-Fixed Tray",Metal; Screw-Fixed; Adjustable Under-Desk Tray,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Discovered and identity-checked live via Amazon.in the same session (Dr. Victor).
BALCONY_BROOM_001,CMP_BALCONY_BROOM_001,"Chillyfit Broom Holder Wall Mounted, Mop and Broomstick Stand, 5 Slots + 6 Hooks",amazon.in,B0CSBD2WYQ,Gray; Polypropylene; 5 Slots + 6 Hanger Hooks; Wall Mounted,https://www.amazon.in/dp/B0CSBD2WYQ,Chillyfit Wall-Mounted Broom & Mop Holder for Balcony/Utility Areas (5 Slots + 6 Hooks),Gray; Polypropylene; 5 Slots + 6 Hanger Hooks; Wall Mounted,Chillyfit Wall-Mounted Broom & Mop Holder for Balcony/Utility Areas (5 Slots + 6 Hooks),Gray; Polypropylene; 5 Slots + 6 Hanger Hooks; Wall Mounted,VERIFIED,IN_STOCK,2026-08-16,2026-08-16,ACTIVE,READY,Live-verified 2026-08-16 and activated; tracking_id rioaffiliate-21. Discovered and identity-checked live via Amazon.in the same session (Dr. Victor).
