priority,cluster,working_title,intent,monetization,status,publication_gate
1,kitchen storage,Best Space-Saving Kitchen Organizers for Small Indian Kitchens,commercial,Amazon Home/Kitchen,FRAMEWORK_COMPLETE,FOUNDER_APPROVAL_REQUIRED
2,kitchen storage,Best No-Drill Kitchen Storage Ideas for Renters in India,commercial,Amazon Home/Kitchen,FRAMEWORK_COMPLETE,FOUNDER_APPROVAL_REQUIRED
3,apartment storage,Vertical Storage Ideas for Small Indian Homes,informational-commercial,Amazon Home,FRAMEWORK_COMPLETE,FOUNDER_APPROVAL_REQUIRED
4,kitchen storage,Under-Sink Storage Ideas for Indian Kitchens,commercial,Amazon Home/Kitchen,QUEUED,FOUNDER_APPROVAL_REQUIRED
5,wardrobe storage,Best Wardrobe Organizers for Small Bedrooms in India,commercial,Amazon Home,QUEUED,FOUNDER_APPROVAL_REQUIRED
6,apartment storage,10 Storage Ideas for a 1BHK Without Renovation,informational-commercial,Amazon Home,QUEUED,FOUNDER_APPROVAL_REQUIRED
7,apartment storage,Best Foldable Furniture for Small Indian Apartments,commercial,Amazon Home,QUEUED,FOUNDER_APPROVAL_REQUIRED
8,kitchen storage,How to Organize a Small Kitchen Counter Without Adding Cabinets,informational-commercial,Amazon Home/Kitchen,QUEUED,FOUNDER_APPROVAL_REQUIRED
9,wardrobe storage,Best Under-Bed Storage Options for Indian Homes,commercial,Amazon Home,QUEUED,FOUNDER_APPROVAL_REQUIRED
10,kitchen storage,Best Drawer and Cabinet Organizers for Indian Kitchens,commercial,Amazon Home/Kitchen,QUEUED,FOUNDER_APPROVAL_REQUIRED
11,kitchen storage,Best Spice Rack Types for Indian Kitchens,commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
12,kitchen storage,Best Under-Sink Organizers for Indian Kitchens,commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
13,kitchen storage,Best Kitchen Trolleys for Small Spaces in India,commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
14,pantry storage,Best Airtight Container Types for an Indian Pantry,commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
15,kitchen storage,Kitchen Drawer Organizers: What Works in Indian Kitchens,commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
16,kitchen storage,No-Drill Kitchen Organizers for Renters in India,commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
17,kitchen storage,Small Indian Kitchen Storage Ideas Before You Buy More Organizers,informational-commercial,Amazon Home/Kitchen,DRAFT_READY,FOUNDER_APPROVAL_REQUIRED
